x,y,z,yaw,holdtime
0,0,2,0,3
0,0,10,0,3
80.5,0,10,0,3
80.5,0,10,90,3
80.5,40.25,10,90,3
80.5,40.25,10,180,3
0,40.25,10,180,3
0,40.25,10,270,3
0,0,10,270,3
0,0,10,0,3
0,0,2,0,3
