# v1.0 firmware: DecaRanging ARM Source Code v3.05
# timestamp[sec] distance_cor[m] distance_rawm] type seq_num
1524227941.2089145 1.3109999895095825 1.1809999942779541 anchor 42
1524227941.7089279 1.2599999904632568 1.1299999952316284 anchor 43
1524227942.210892 1.2829999923706055 1.1529999971389771 anchor 44
1524227942.7108822 1.2269999980926514 1.0970000028610229 anchor 45
1524227943.2127733 1.2790000438690186 1.1490000486373901 anchor 46
1524227943.7127447 1.2690000534057617 1.1390000581741333 anchor 47
1524227944.2147913 1.2740000486373901 1.1440000534057617 anchor 48
1524227944.7147756 1.2599999904632568 1.1299999952316284 anchor 49
1524227945.2168016 1.2269999980926514 1.0970000028610229 anchor 50
1524227945.716738 1.2039999961853027 1.0740000009536743 anchor 51
1524227946.2189236 1.3400000333786011 1.2100000381469727 anchor 52
1524227946.7188063 1.343999981880188 1.2139999866485596 anchor 53
1524227947.2209129 1.2829999923706055 1.1529999971389771 anchor 54
1524227947.7209313 1.2359999418258667 1.1059999465942383 anchor 55
1524227948.2227831 1.2269999980926514 1.0970000028610229 anchor 56
1524227948.7227473 1.2929999828338623 1.1629999876022339 anchor 57
1524227949.2249136 1.25 1.1200000047683716 anchor 58
1524227949.7249079 1.2690000534057617 1.1390000581741333 anchor 59
1524227950.2267399 1.3159999847412109 1.1859999895095825 anchor 60
1524227950.7268794 1.343999981880188 1.2139999866485596 anchor 61
1524227951.2288687 1.3020000457763672 1.1720000505447388 anchor 62
1524227951.728919 1.2549999952316284 1.125 anchor 63
1524227952.2309308 1.2649999856948853 1.1349999904632568 anchor 64
1524227952.7309365 1.2460000514984131 1.1160000562667847 anchor 65
1524227953.2329435 1.2359999418258667 1.1059999465942383 anchor 66
1524227953.732918 1.2690000534057617 1.1390000581741333 anchor 67
1524227954.2349098 1.3209999799728394 1.1909999847412109 anchor 68
1524227954.7349229 1.3539999723434448 1.2239999771118164 anchor 69
1524227955.2369323 1.2970000505447388 1.1670000553131104 anchor 70
1524227955.7367587 1.2319999933242798 1.1019999980926514 anchor 71
1524227956.2388747 1.25 1.1200000047683716 anchor 72
1524227956.7387948 1.2879999876022339 1.1579999923706055 anchor 73
1524227957.2407491 1.2599999904632568 1.1299999952316284 anchor 74
1524227957.7408025 1.3159999847412109 1.1859999895095825 anchor 75
1524227958.2429049 1.2130000591278076 1.0829999446868896 anchor 76
