x,y,z,yaw,holdtime
0,0,1.5,0,2
0,0,1.5,225,2
-2,-2,1.5,225,2
-2,-2,1.5,0,2
2,-2,1.5,0,2
2,-2,1.5,90,2
2,2,1.5,90,2
2,2,1.5,180,2
-2,2,1.5,180,2
-2,2,1.5,270,2
-2,-2,1.5,270,2
-2,-2,1.5,0,2
