x,y,z,yaw
0,0,2,0
0,0,10,0
80.5,0,10,0
80.5,0,10,90
80.5,40.25,10,90
80.5,40.25,10,180
0,40.25,10,180
0,40.25,10,270
0,0,10,270
0,0,10,0
0,0,2,0
0,0,0.5,0
