x,y,z,yaw
0,0,2,0
0,0,10,0
5,0,10,0
5,0,10,90
5,5,10,90
5,5,10,180
0,5,10,180
0,5,10,270
0,0,10,270
0,0,10,0
0,0,2,0
0,0,0.5,0
