# v1.0 firmware: DecaRanging ARM Source Code v3.05
# timestamp[sec] distance_cor[m] distance_rawm] type seq_num
1520589369.4085038 15.16100025177002 15.201000213623047 anchor 1759
1520589369.9084432 15.156000137329102 15.196000099182129 anchor 1760
1520589370.4104218 15.142000198364258 15.182000160217285 anchor 1761
1520589370.9105244 15.142000198364258 15.182000160217285 anchor 1762
1520589371.4124949 15.156000137329102 15.196000099182129 anchor 1763
1520589371.9123046 15.13700008392334 15.177000045776367 anchor 1764
1520589372.414484 15.147000312805176 15.187000274658203 anchor 1765
1520589372.9143646 15.152000427246094 15.192000389099121 anchor 1766
1520589373.4164488 15.147000312805176 15.187000274658203 anchor 1767
1520589373.9163005 15.142000198364258 15.182000160217285 anchor 1768
1520589374.4184642 15.123000144958496 15.163000106811523 anchor 1769
1520589374.9184616 15.123000144958496 15.163000106811523 anchor 1770
1520589375.4204683 15.128000259399414 15.168000221252441 anchor 1771
1520589375.9204359 15.123000144958496 15.163000106811523 anchor 1772
1520589376.4224789 15.119000434875488 15.159000396728516 anchor 1773
1520589376.9224856 15.119000434875488 15.159000396728516 anchor 1774
1520589377.4243734 15.13700008392334 15.177000045776367 anchor 1775
1520589377.9243467 15.133000373840332 15.173000335693359 anchor 1776
1520589378.4265015 15.128000259399414 15.168000221252441 anchor 1777
1520589378.926492 15.133000373840332 15.173000335693359 anchor 1778
1520589379.4283612 15.133000373840332 15.173000335693359 anchor 1779
1520589379.9285061 15.13700008392334 15.177000045776367 anchor 1780
1520589380.4304934 15.109000205993652 15.14900016784668 anchor 1781
1520589380.9305336 15.119000434875488 15.159000396728516 anchor 1782
1520589381.4324563 15.119000434875488 15.159000396728516 anchor 1783
1520589381.9325037 15.11400032043457 15.154000282287598 anchor 1784
1520589382.4343622 15.119000434875488 15.159000396728516 anchor 1785
1520589382.9344726 15.147000312805176 15.187000274658203 anchor 1786
1520589383.4363456 15.133000373840332 15.173000335693359 anchor 1787
1520589383.9364707 15.147000312805176 15.187000274658203 anchor 1788
1520589384.4383738 15.152000427246094 15.192000389099121 anchor 1789
1520589384.9385207 15.142000198364258 15.182000160217285 anchor 1790
1520589385.4403367 15.147000312805176 15.187000274658203 anchor 1791
1520589385.9404933 15.147000312805176 15.187000274658203 anchor 1792
1520589386.4423478 15.13700008392334 15.177000045776367 anchor 1793
1520589386.9425159 15.13700008392334 15.177000045776367 anchor 1794
1520589387.4443419 15.13700008392334 15.177000045776367 anchor 1795
1520589387.9444506 15.147000312805176 15.187000274658203 anchor 1796
1520589388.4464941 15.128000259399414 15.168000221252441 anchor 1797
1520589388.9465244 15.133000373840332 15.173000335693359 anchor 1798
1520589389.448487 15.13700008392334 15.177000045776367 anchor 1799
1520589389.9484398 15.156000137329102 15.196000099182129 anchor 1800
1520589390.4504421 15.119000434875488 15.159000396728516 anchor 1801
1520589390.9504879 15.142000198364258 15.182000160217285 anchor 1802
1520589391.4523859 15.152000427246094 15.192000389099121 anchor 1803
