# v1.0 firmware: DecaRanging ARM Source Code v3.05
# timestamp[sec] distance_cor[m] distance_rawm] type seq_num
1520590760.6458211 102.82599639892578 102.90599822998047 anchor 4315
1520590761.1459813 102.82599639892578 102.90599822998047 anchor 4316
1520590761.6479316 102.80699920654297 102.88700103759766 anchor 4317
1520590762.1499269 102.8489990234375 102.92900085449219 anchor 4318
1520590762.649931 102.8489990234375 102.92900085449219 anchor 4319
1520590763.1499324 102.802001953125 102.88200378417969 anchor 4320
1520590763.6517828 102.8489990234375 102.92900085449219 anchor 4321
1520590764.1518855 102.83100128173828 102.91100311279297 anchor 4322
1520590764.6537797 102.79799652099609 102.87799835205078 anchor 4323
1520590765.1538043 102.82099914550781 102.9010009765625 anchor 4324
1520590765.6557691 102.82599639892578 102.90599822998047 anchor 4325
1520590766.1557801 102.84500122070312 102.92500305175781 anchor 4326
1520590766.6577778 102.802001953125 102.88200378417969 anchor 4327
1520590767.1599205 102.86299896240234 102.94300079345703 anchor 4328
1520590767.659905 102.76499938964844 102.84500122070312 anchor 4329
1520590768.1597836 102.81199645996094 102.89199829101562 anchor 4330
1520590768.6617889 102.8489990234375 102.92900085449219 anchor 4331
1520590769.1639369 102.8489990234375 102.92900085449219 anchor 4332
1520590769.6637645 102.85900115966797 102.93900299072266 anchor 4333
1520590770.1658983 102.85399627685547 102.93399810791016 anchor 4334
1520590770.6658859 102.8489990234375 102.92900085449219 anchor 4335
1520590771.1679165 102.84500122070312 102.92500305175781 anchor 4336
1520590771.6678488 102.8489990234375 102.92900085449219 anchor 4337
1520590772.1679163 102.83100128173828 102.91100311279297 anchor 4338
1520590772.6698081 102.88200378417969 102.96199798583984 anchor 4339
1520590773.1697977 102.80699920654297 102.88700103759766 anchor 4340
1520590773.6717808 102.802001953125 102.88200378417969 anchor 4341
1520590774.171912 102.80699920654297 102.88700103759766 anchor 4342
1520590774.6738768 102.85399627685547 102.93399810791016 anchor 4343
