x,y,z,yaw,holdtime
0,0,2,0,3
0,0,5,0,3
10,0,5,0,3
10,0,0.5,0,10
10,0,5,0,3
10,0,5,90,3
10,4,5,90,3
10,4,0.5,90,10
10,4,5,90,3
10,4,5,180,3
4,4,5,180,3
4,4,0.5,180,10
4,4,5,180,3
4,4,5,-135,3
0,0,5,-135,3
0,0,5,0,3
0,0,2,0,3
