x,y,z,yaw,holdtime
0,0,2,0,3
5,0,2,0,3
5,0,2,90,3
5,5,2,90,3
5,5,2,180,3
0,5,2,180,3
0,5,2,270,3
0,0,2,270,3
0,0,2,0,3
