# v1.0 firmware: DecaRanging ARM Source Code v3.05
# timestamp[sec] distance_cor[m] distance_rawm] type seq_num
1520592464.5032358 34.356998443603516 34.426998138427734 anchor 6974
1520592465.0051656 34.338001251220703 34.408000946044922 anchor 6975
1520592465.505214 34.380001068115234 34.450000762939453 anchor 6976
1520592466.0070326 34.333000183105469 34.402999877929688 anchor 6977
1520592466.5091035 34.380001068115234 34.450000762939453 anchor 6978
1520592467.0091848 34.324001312255859 34.394001007080078 anchor 6979
1520592467.509063 34.380001068115234 34.450000762939453 anchor 6980
1520592468.0112133 34.291000366210938 34.361000061035156 anchor 6981
1520592468.5110772 34.356998443603516 34.426998138427734 anchor 6982
1520592469.0131001 34.408000946044922 34.478000640869141 anchor 6983
1520592469.5130293 34.328998565673828 34.398998260498047 anchor 6984
1520592470.0151522 34.417999267578125 34.487998962402344 anchor 6985
1520592470.5150378 34.384998321533203 34.455001831054688 anchor 6986
1520592471.0172102 34.408000946044922 34.478000640869141 anchor 6987
1520592471.5169873 34.366001129150391 34.436000823974609 anchor 6988
1520592472.0191953 34.375 34.444999694824219 anchor 6989
1520592472.5190473 34.384998321533203 34.455001831054688 anchor 6990
1520592473.0211737 34.215999603271484 34.285999298095703 anchor 6991
1520592473.5232046 34.196998596191406 34.266998291015625 anchor 6992
1520592474.0232067 34.282001495361328 34.352001190185547 anchor 6993
1520592474.5251951 34.366001129150391 34.436000823974609 anchor 6994
1520592475.0252013 34.254001617431641 34.324001312255859 anchor 6995
1520592475.5251985 34.26300048828125 34.333000183105469 anchor 6996
1520592476.0271921 34.356998443603516 34.426998138427734 anchor 6997
1520592476.5272102 34.21099853515625 34.280998229980469 anchor 6998
1520592477.0292022 34.557998657226562 34.627998352050781 anchor 6999
1520592477.5311995 34.830001831054688 34.909999847412109 anchor 7000
