# v1.0 firmware: DecaRanging ARM Source Code v3.05
# timestamp[sec] distance_cor[m] distance_rawm] type seq_num
1520593017.5949888 111.00099945068359 111.08100128173828 anchor 7582
1520593018.0969136 110.58399963378906 110.66400146484375 anchor 7583
1520593018.5970066 110.11499786376953 110.19499969482422 anchor 7584
1520593019.098877 109.36399841308594 109.44400024414062 anchor 7585
1520593019.5989783 108.85299682617188 108.93299865722656 anchor 7586
1520593020.1009512 108.14900207519531 108.22899627685547 anchor 7587
1520593020.6009982 107.59600067138672 107.67600250244141 anchor 7588
1520593021.1028063 107.23000335693359 107.30999755859375 anchor 7589
1520593021.6029801 106.70500183105469 106.78500366210938 anchor 7590
1520593022.1049638 106.11399841308594 106.19400024414062 anchor 7591
1520593022.6048446 105.53199768066406 105.61199951171875 anchor 7592
1520593023.1067922 104.76300048828125 104.84300231933594 anchor 7593
1520593023.6068289 104.29399871826172 104.37400054931641 anchor 7594
1520593024.1089246 103.80599975585938 103.88600158691406 anchor 7595
1520593024.6088347 103.39800262451172 103.47799682617188 anchor 7596
1520593025.110966 102.94300079345703 103.02300262451172 anchor 7597
1520593025.6109612 102.44599914550781 102.5260009765625 anchor 7598
1520593026.1129684 101.96800231933594 102.04799652099609 anchor 7599
1520593026.6129689 101.38600158691406 101.46600341796875 anchor 7600
1520593027.114958 100.63099670410156 100.71099853515625 anchor 7601
1520593027.6149514 100.10099792480469 100.18099975585938 anchor 7602
1520593028.1169648 99.490997314453125 99.570999145507812 anchor 7603
1520593028.6169579 98.96099853515625 99.041000366210938 anchor 7604
1520593029.6189716 97.811996459960938 97.891998291015625 anchor 7605
1520593030.6209633 96.03900146484375 96.119003295898438 anchor 7606
1520593031.1229653 95.015998840332031 95.096000671386719 anchor 7607
1520593031.6229515 93.63800048828125 93.718002319335938 anchor 7608
1520593032.1248302 92.417999267578125 92.498001098632812 anchor 7609
1520593033.1269813 89.654998779296875 89.735000610351562 anchor 7610
1520593033.6268301 88.069999694824219 88.150001525878906 anchor 7611
1520593034.1289742 86.404998779296875 86.485000610351562 anchor 7612
1520593034.6289864 84.922996520996094 85.002998352050781 anchor 7613
1520593035.1309438 83.21600341796875 83.295997619628906 anchor 7614
1520593035.6309571 81.714996337890625 81.794998168945312 anchor 7615
1520593036.1329639 80.204002380371094 80.28399658203125 anchor 7616
1520593036.6329587 78.633003234863281 78.712997436523438 anchor 7617
1520593037.1349437 77.005996704101562 77.08599853515625 anchor 7618
1520593037.63499 75.447998046875 75.527999877929688 anchor 7619
1520593038.1369538 74.045997619628906 74.125999450683594 anchor 7620
1520593038.6368196 72.507003784179688 72.586997985839844 anchor 7621
1520593039.1389627 70.847000122070312 70.927001953125 anchor 7622
1520593039.6388166 69.468002319335938 69.547996520996094 anchor 7623
1520593040.1409237 67.897003173828125 67.976997375488281 anchor 7624
1520593040.6409571 66.607002258300781 66.686996459960938 anchor 7625
1520593041.1429567 65.851997375488281 65.931999206542969 anchor 7626
1520593041.6429832 65.327003479003906 65.406997680664062 anchor 7627
1520593042.1449857 64.660003662109375 64.739997863769531 anchor 7628
1520593042.6449809 64.304000854492188 64.384002685546875 anchor 7629
