# v1.0 firmware: DecaRanging ARM Source Code v3.05
# timestamp[sec] distance_cor[m] distance_rawm] type seq_num
1520591929.9492977 5.3359999656677246 5.2859997749328613 anchor 5910
1520591930.4512749 5.2979998588562012 5.2480001449584961 anchor 5911
1520591930.9512193 5.3400001525878906 5.2899999618530273 anchor 5912
1520591931.4532738 5.3029999732971191 5.2529997825622559 anchor 5913
1520591931.9532516 5.2930002212524414 5.2430000305175781 anchor 5914
1520591932.4552975 5.3449997901916504 5.2950000762939453 anchor 5915
1520591932.9552584 5.2839999198913574 5.2340002059936523 anchor 5916
1520591933.4574683 5.2789998054504395 5.2290000915527344 anchor 5917
1520591933.9572833 5.3029999732971191 5.2529997825622559 anchor 5918
1520591934.459424 5.2979998588562012 5.2480001449584961 anchor 5919
1520591934.9594257 5.3119997978210449 5.2620000839233398 anchor 5920
1520591935.461308 5.2979998588562012 5.2480001449584961 anchor 5921
1520591935.9614305 5.2890000343322754 5.2389998435974121 anchor 5922
1520591936.46138 5.3309998512268066 5.2810001373291016 anchor 5923
1520591936.9634356 5.2930002212524414 5.2430000305175781 anchor 5924
1520591937.4634445 5.3359999656677246 5.2859997749328613 anchor 5925
1520591937.9654303 5.2839999198913574 5.2340002059936523 anchor 5926
1520591938.4654286 5.3260002136230469 5.2760000228881836 anchor 5927
1520591938.9674213 5.3119997978210449 5.2620000839233398 anchor 5928
1520591939.4674404 5.2930002212524414 5.2430000305175781 anchor 5929
1520591939.9693708 5.3210000991821289 5.2709999084472656 anchor 5930
1520591940.4694002 5.3260002136230469 5.2760000228881836 anchor 5931
1520591940.9713793 5.3169999122619629 5.2670001983642578 anchor 5932
1520591941.4712815 5.3400001525878906 5.2899999618530273 anchor 5933
1520591941.9733605 5.2649998664855957 5.2150001525878906 anchor 5934
1520591942.4732733 5.2890000343322754 5.2389998435974121 anchor 5935
1520591942.9752684 5.2890000343322754 5.2389998435974121 anchor 5936
1520591943.4752681 5.3210000991821289 5.2709999084472656 anchor 5937
1520591943.9772766 5.3309998512268066 5.2810001373291016 anchor 5938
1520591944.4772425 5.3210000991821289 5.2709999084472656 anchor 5939
1520591944.9792697 5.3499999046325684 5.3000001907348633 anchor 5940
