# v1.0 firmware: DecaRanging ARM Source Code v3.05
# timestamp[sec] distance_cor[m] distance_rawm] type seq_num
1520592687.4451089 62.372001647949219 62.451999664306641 anchor 7415
1520592687.9451408 62.358001708984375 62.437999725341797 anchor 7416
1520592688.4470143 62.36199951171875 62.442001342773438 anchor 7417
1520592688.9471183 62.367000579833984 62.446998596191406 anchor 7418
1520592689.4491136 62.395000457763672 62.474998474121094 anchor 7419
1520592689.9489958 62.342998504638672 62.423000335693359 anchor 7420
1520592690.4510913 62.353000640869141 62.432998657226562 anchor 7421
1520592690.9510705 62.342998504638672 62.423000335693359 anchor 7422
1520592691.4530566 62.314998626708984 62.395000457763672 anchor 7423
1520592691.9531121 62.375999450683594 62.456001281738281 anchor 7424
1520592692.4551017 62.409000396728516 62.488998413085938 anchor 7425
1520592692.9551187 62.367000579833984 62.446998596191406 anchor 7426
1520592693.4571116 62.353000640869141 62.432998657226562 anchor 7427
1520592693.9569645 62.375999450683594 62.456001281738281 anchor 7428
1520592694.4591017 62.339000701904297 62.418998718261719 anchor 7429
1520592694.9589465 62.339000701904297 62.418998718261719 anchor 7430
1520592695.4611092 62.375999450683594 62.456001281738281 anchor 7431
1520592695.9609311 62.381000518798828 62.46099853515625 anchor 7432
1520592696.4629347 62.386001586914062 62.465999603271484 anchor 7433
1520592696.9630723 62.319999694824219 62.400001525878906 anchor 7434
1520592697.4649715 62.432998657226562 62.51300048828125 anchor 7435
1520592697.9650874 62.381000518798828 62.46099853515625 anchor 7436
1520592698.4670768 62.381000518798828 62.46099853515625 anchor 7437
1520592698.967068 62.353000640869141 62.432998657226562 anchor 7438
